Symbol	GoldenPathhg38(Mb)	Location	Description
UTY	13323.034	Yq11.221	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
TMSB4Y	13703.899	Yq11.221	thymosin beta 4 Y-linked
VCY1B	13985.772	Yq11.221	variable charge Y-linked 1B
VCY	13985.772	Yq11.221	variable charge Y-linked
NLGN4Y	14523.746	Yq11.221	neuroligin 4 Y-linked
NLGN4Y-AS1	14793.642	Yq11.221	NLGN4Y antisense RNA 1
FAM41AY1	17500.958	Yq11.222	"family with sequence similarity 41 member A, Y-linked 1"
FAM41AY2	17500.958	Yq11.222	"family with sequence similarity 41 member A, Y-linked 2"
FAM224B	17575.161	Yq11.222	family with sequence similarity 224 member B
FAM224A	17575.185	Yq11.222	family with sequence similarity 224 member A
XKRY2	17768.98	Yq11.222	"XK related, Y-linked 2"
XKRY	17768.98	Yq11.222	"XK related, Y-linked"
CDY2B	17878.26	Yq11.222	chromodomain Y-linked 2B
CDY2A	17878.261	Yq11.222	chromodomain Y-linked 2A
HSFY2	18546.671	Yq11.222	heat shock transcription factor Y-linked 2
HSFY1	18546.691	Yq11.222	heat shock transcription factor Y-linked 1
TTTY9A	18581.206	Yq11.222	"testis-specific transcript, Y-linked 9A"
TTTY9B	18581.206	Yq11.222	"testis-specific transcript, Y-linked 9B"
TTTY14	18932.451	Yq11.222	"testis-specific transcript, Y-linked 14"
KDM5D	19703.865	Yq11.223	lysine demethylase 5D
TTTY10	20465.668	Yq11.223	"testis-specific transcript, Y-linked 10"
EIF1AY	20575.711	Yq11.223	eukaryotic translation initiation factor 1A Y-linked
RPS4Y2	20756.068	Yq11.223	ribosomal protein S4 Y-linked 2
PRORY	21382.974	Yq11.223	proline rich Y-linked
RBMY2EP	21395.148	Yq11.223	"RNA binding motif protein Y-linked family 2 member E, pseudogene"
RBMY1A1	21511.338	Yq11.223	RNA binding motif protein Y-linked family 1 member A1
RBMY1B	21511.338	Yq11.223	RNA binding motif protein Y-linked family 1 member B
RBMY1D	21511.338	Yq11.223	RNA binding motif protein Y-linked family 1 member D
RBMY1E	21511.378	Yq11.223	RNA binding motif protein Y-linked family 1 member E
TTTY13	21583.6	Yq11.223	"testis-specific transcript, Y-linked 13"
PRY2	22071.756	Yq11.223	PTPN13 like Y-linked 2
PRY	22071.756	Yq11.223	PTPN13 like Y-linked
LOC101929148	22101.692	Yq11.223	uncharacterized LOC101929148
TTTY6	22144.965	Yq11.223	"testis-specific transcript, Y-linked 6"
TTTY6B	22144.987	Yq11.223	"testis-specific transcript, Y-linked 6B"
RBMY1F	22168.542	Yq11.223	RNA binding motif protein Y-linked family 1 member F
RBMY1J	22168.774	Yq11.223	RNA binding motif protein Y-linked family 1 member J
TTTY5	22296.798	Yq11.223	"testis-specific transcript, Y-linked 5"
RBMY2FP	22308.859	Yq11.223	"RNA binding motif protein Y-linked family 2 member F, pseudogene"
LOC100652931	22316.678	Yq11.223	RNA binding motif protein Y-linked family 1 member A1 pseudogene
TTTY17A	22851.584	Yq11.223	"testis-specific transcript, Y-linked 17A"
TTTY17B	22851.584	Yq11.23	"testis-specific transcript, Y-linked 17B"
TTTY17C	22851.584	Yq11.23	"testis-specific transcript, Y-linked 17C"
TTTY4B	22936.455	Yq11.23	"testis-specific transcript, Y-linked 4B"
TTTY4C	22936.455	Yq11.23	"testis-specific transcript, Y-linked 4C"
TTTY4	22936.455	Yq11.223	"testis-specific transcript, Y-linked 4"
BPY2B	22984.263	Yq11.23	basic charge Y-linked 2B
BPY2C	22984.263	Yq11.23	basic charge Y-linked 2C
BPY2	22984.263	Yq11.223	basic charge Y-linked 2
DAZ1	23129.355	Yq11.223	deleted in azoospermia 1
DAZ4	23129.355	Yq11.23	deleted in azoospermia 4
DAZ3	23219.434	Yq11.23	deleted in azoospermia 3
DAZ2	23219.457	Yq11.223	deleted in azoospermia 2
TTTY3B	23936.727	Yq11.23	"testis-specific transcript, Y-linked 3B"
TTTY3	23936.727	Yq11.23	"testis-specific transcript, Y-linked 3"
CDY1B	24045.23	Yq11.23	chromodomain Y-linked 1B
CDY1	24045.793	Yq11.23	chromodomain Y-linked 1
CSPG4P1Y	24183.434	Yq11.23	CSPG4 pseudogene 1 Y-linked
GOLGA2P2Y	24209.967	Yq11.23	GOLGA2 pseudogene 2 Y-linked
GOLGA2P3Y	24209.967	Yq11.23	GOLGA2 pseudogene 3 Y-linked
